+-------+-----+------+-----+-----+-----+--------+-----------------------------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-------------+-------------+--------------+-------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                                              URI                                              |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV |  MIN(BODY)  |  MAX(BODY)  |  SUM(BODY)   |  AVG(BODY)  |
| 129   | 0   | 129  | 0   | 0   | 0   | GET    | /api/courses/01HFNB5H5JP08YP5TPH8SG420B/classes                                               | 0.004 | 3.680 | 33.184   | 0.257 | 0.664 | 1.100 | 2.360 | 0.472  | 344.000     | 1270.000    | 86619.000    | 671.465     |
| 249   | 0   | 249  | 0   | 0   | 0   | GET    | /api/courses/01HFNB4M9K4PG6G94GYGFGE0DK/classes                                               | 0.004 | 2.580 | 33.100   | 0.133 | 0.284 | 0.596 | 1.452 | 0.263  | 268.000     | 1536.000    | 220564.000   | 885.799     |
| 245   | 0   | 245  | 0   | 0   | 0   | GET    | /api/courses/01HFNB4MCPFB21FP3W00ABYXN4/classes                                               | 0.004 | 2.184 | 32.812   | 0.134 | 0.332 | 0.520 | 1.304 | 0.240  | 237.000     | 1362.000    | 195597.000   | 798.355     |
| 250   | 0   | 250  | 0   | 0   | 0   | GET    | /api/courses/01HFNB3FPMXVS0HT209N5QBPWC/classes                                               | 0.004 | 2.816 | 32.035   | 0.128 | 0.264 | 0.440 | 1.516 | 0.257  | 325.000     | 1463.000    | 226750.000   | 907.000     |
| 249   | 0   | 249  | 0   | 0   | 0   | GET    | /api/courses/01HFNB4MARF64N5HHKJ5H9MNJE/classes                                               | 0.004 | 1.872 | 31.828   | 0.128 | 0.308 | 0.544 | 1.248 | 0.221  | 334.000     | 1418.000    | 225182.000   | 904.345     |
| 249   | 0   | 249  | 0   | 0   | 0   | GET    | /api/courses/01HFNB3FS2196Y36688QJN8F8B/classes                                               | 0.004 | 1.860 | 31.668   | 0.127 | 0.316 | 0.459 | 1.260 | 0.221  | 209.000     | 1300.000    | 191894.000   | 770.659     |
| 248   | 0   | 248  | 0   | 0   | 0   | GET    | /api/courses/01HFNB4M9AGT3DV0CQMG67A2PW/classes                                               | 0.004 | 1.696 | 31.620   | 0.127 | 0.324 | 0.496 | 1.188 | 0.216  | 215.000     | 1433.000    | 212607.000   | 857.286     |
| 248   | 0   | 248  | 0   | 0   | 0   | GET    | /api/courses/01HFNB4MFEZDE5T45BNT4XPG5Y/classes                                               | 0.004 | 2.288 | 31.536   | 0.127 | 0.316 | 0.512 | 1.648 | 0.278  | 262.000     | 1439.000    | 215322.000   | 868.234     |
| 250   | 0   | 250  | 0   | 0   | 0   | GET    | /api/courses/01HFNB4MDAJCGWH9SV0D2JFP0N/classes                                               | 0.004 | 1.664 | 31.440   | 0.126 | 0.300 | 0.488 | 1.320 | 0.224  | 274.000     | 1386.000    | 204850.000   | 819.400     |
| 113   | 0   | 112  | 0   | 1   | 0   | GET    | /api/courses/01HFNB5H5PWAV5ECQR7JBFTYS8/classes                                               | 0.004 | 4.996 | 31.416   | 0.278 | 0.524 | 1.308 | 2.708 | 0.615  | 858.000     | 859.000     | 54381.000    | 481.248     |
| 248   | 0   | 247  | 0   | 1   | 0   | GET    | /api/courses/01HFNB3FNSH0W3WP8DVGNQD8NE/classes                                               | 0.004 | 1.268 | 31.380   | 0.127 | 0.324 | 0.496 | 0.944 | 0.180  | 0.000       | 1453.000    | 224758.000   | 906.282     |
| 134   | 0   | 134  | 0   | 0   | 0   | GET    | /api/courses/01HFNB4N87TNQF3MX17YJ055V2/classes                                               | 0.004 | 2.864 | 31.068   | 0.232 | 0.536 | 0.880 | 2.252 | 0.442  | 320.000     | 1177.000    | 87860.000    | 655.672     |
| 129   | 0   | 129  | 0   | 0   | 0   | GET    | /api/courses/01HFNB5H8QXFDNZPCB08RBP1EA/classes                                               | 0.004 | 2.724 | 31.032   | 0.241 | 0.672 | 0.864 | 1.816 | 0.377  | 261.000     | 833.000     | 66853.000    | 518.240     |
| 249   | 0   | 249  | 0   | 0   | 0   | GET    | /api/courses/01HFNB3FR0M51Q4XTW8Q5HWEZX/classes                                               | 0.004 | 1.388 | 30.952   | 0.124 | 0.324 | 0.476 | 1.028 | 0.197  | 264.000     | 1225.000    | 186675.000   | 749.699     |
| 250   | 0   | 250  | 0   | 0   | 0   | GET    | /api/courses/01HFNB3FRCAY9N5K0RD6P5CJ4V/classes                                               | 0.004 | 1.496 | 30.700   | 0.123 | 0.304 | 0.444 | 0.772 | 0.172  | 341.000     | 1231.000    | 197050.000   | 788.200     |
| 119   | 0   | 119  | 0   | 0   | 0   | GET    | /api/courses/01HFNB5H90X591J9PMP01VXDZM/classes                                               | 0.004 | 3.212 | 30.072   | 0.253 | 0.688 | 0.928 | 1.904 | 0.415  | 307.000     | 863.000     | 69028.000    | 580.067     |
| 247   | 0   | 247  | 0   | 0   | 0   | GET    | /api/courses/01HFNB3FRMP1P1XTP3VND3QYJD/classes                                               | 0.004 | 2.256 | 30.029   | 0.122 | 0.280 | 0.452 | 1.016 | 0.215  | 239.000     | 1376.000    | 200757.000   | 812.781     |
| 248   | 0   | 248  | 0   | 0   | 0   | GET    | /api/courses/01HFNB3FPXX2NJFA9DSDXB2GQC/classes                                               | 0.004 | 2.064 | 29.930   | 0.121 | 0.340 | 0.456 | 0.780 | 0.200  | 218.000     | 1365.000    | 195270.000   | 787.379     |
| 129   | 0   | 129  | 0   | 0   | 0   | GET    | /api/courses/01HFNB5HB581Q83JENEEB88WXW/classes                                               | 0.004 | 3.264 | 29.860   | 0.231 | 0.560 | 1.084 | 3.180 | 0.479  | 274.000     | 801.000     | 64747.000    | 501.915     |
