+-------+-----+------+-----+-----+-----+--------+-----------------------------------------------------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+--------------+-------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                                              URI                                              |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV |  MIN(BODY)  |  MAX(BODY)  |  SUM(BODY)   |  AVG(BODY)  |
| 54    | 0   | 54   | 0   | 0   | 0   | GET    | /api/announcements/01HFN5P1GZZRJXN8ET44N443MK                                                 | 0.016 | 2.572 | 17.580  | 0.326 | 1.140 | 1.444 | 2.572 | 0.481  | 559.000     | 560.000     | 30190.000    | 559.074     |
| 29    | 0   | 29   | 0   | 0   | 0   | GET    | /api/announcements/01HFN5PJMAMGX3C6V8Z5XZCH1J                                                 | 0.020 | 4.020 | 17.520  | 0.604 | 1.624 | 3.792 | 4.020 | 0.972  | 388.000     | 389.000     | 11254.000    | 388.069     |
| 49    | 0   | 49   | 0   | 0   | 0   | POST   | /api/courses/01HFN5NBZKSHQRH8AC1BWSK6SM/classes/01HFN5NK6EM3WE1ZTBYQZKSN7S/assignments        | 0.020 | 2.196 | 17.028  | 0.348 | 0.696 | 1.556 | 2.196 | 0.417  | 0.000       | 0.000       | 0.000        | 0.000       |
| 44    | 0   | 44   | 0   | 0   | 0   | GET    | /api/announcements/01HFN5PWWBV96XPRZG6R6WHHMM                                                 | 0.016 | 2.712 | 17.020  | 0.387 | 0.992 | 1.772 | 2.712 | 0.603  | 399.000     | 399.000     | 17556.000    | 399.000     |
| 43    | 0   | 43   | 0   | 0   | 0   | POST   | /api/courses/01HFN5ND0T5X6RA1BEWG8V863B/classes/01HFN5PJHATJNJK3SHPMY9NKB1/assignments        | 0.024 | 2.672 | 16.984  | 0.395 | 1.072 | 1.352 | 2.672 | 0.518  | 0.000       | 0.000       | 0.000        | 0.000       |
| 50    | 0   | 50   | 0   | 0   | 0   | POST   | /api/courses/01HFN5NBXA580GNSGCHHT5KB2Z/classes/01HFN5NZJ2CYVQNREY4671KWNV/assignments        | 0.016 | 3.120 | 16.792  | 0.336 | 0.848 | 1.428 | 3.120 | 0.570  | 0.000       | 0.000       | 0.000        | 0.000       |
| 57    | 0   | 57   | 0   | 0   | 0   | GET    | /api/announcements/01HFN5NKNAMG52NRASMCVCWT14                                                 | 0.016 | 2.912 | 16.668  | 0.292 | 0.772 | 0.920 | 2.912 | 0.429  | 434.000     | 435.000     | 24745.000    | 434.123     |
| 54    | 0   | 54   | 0   | 0   | 0   | GET    | /api/announcements/01HFN5NTQ8D5PC5SEPQA8YGMP3                                                 | 0.012 | 1.504 | 16.424  | 0.304 | 1.052 | 1.420 | 1.504 | 0.409  | 357.000     | 358.000     | 19282.000    | 357.074     |
| 56    | 0   | 56   | 0   | 0   | 0   | GET    | /api/announcements/01HFN5NSD2WRY6ZPM5E7YWNWD5                                                 | 0.012 | 1.996 | 16.328  | 0.292 | 0.896 | 1.660 | 1.996 | 0.454  | 489.000     | 490.000     | 27390.000    | 489.107     |
| 43    | 0   | 43   | 0   | 0   | 0   | GET    | /api/announcements/01HFN5PJAY8GV8HB8R49JRT4NY                                                 | 0.020 | 3.932 | 16.272  | 0.378 | 0.692 | 1.404 | 3.932 | 0.652  | 394.000     | 395.000     | 16943.000    | 394.023     |
| 59    | 0   | 59   | 0   | 0   | 0   | GET    | /api/announcements/01HFN5NMAP3THNNSKQH86S5CY0                                                 | 0.020 | 3.632 | 16.264  | 0.276 | 0.612 | 0.900 | 3.632 | 0.526  | 450.000     | 451.000     | 26559.000    | 450.153     |
| 68    | 0   | 68   | 0   | 0   | 0   | GET    | /api/announcements/01HFN5ND4PPJ46Y2Y6A8A0990X                                                 | 0.012 | 2.980 | 16.164  | 0.238 | 0.536 | 0.656 | 2.980 | 0.454  | 484.000     | 485.000     | 32930.000    | 484.265     |
| 45    | 0   | 45   | 0   | 0   | 0   | GET    | /api/announcements/01HFN5PT9T045330RR0RBDQEHF                                                 | 0.024 | 1.692 | 16.120  | 0.358 | 1.072 | 1.288 | 1.692 | 0.421  | 475.000     | 476.000     | 21376.000    | 475.022     |
| 53    | 0   | 53   | 0   | 0   | 0   | GET    | /api/announcements/01HFN5P8Z99R6WSDQAYTMD8BVF                                                 | 0.012 | 3.296 | 16.112  | 0.304 | 0.768 | 0.964 | 3.296 | 0.531  | 565.000     | 566.000     | 29948.000    | 565.057     |
| 57    | 0   | 57   | 0   | 0   | 0   | GET    | /api/announcements/01HFN5NKK370QRAQPHEZZV7NRG                                                 | 0.024 | 2.460 | 16.096  | 0.282 | 0.700 | 0.992 | 2.460 | 0.394  | 400.000     | 401.000     | 22807.000    | 400.123     |
| 55    | 0   | 55   | 0   | 0   | 0   | GET    | /api/announcements/01HFN5P30KFK1F4RKQ5C007VBT                                                 | 0.012 | 2.232 | 15.984  | 0.291 | 1.140 | 1.740 | 2.232 | 0.510  | 347.000     | 348.000     | 19090.000    | 347.091     |
| 70    | 0   | 70   | 0   | 0   | 0   | GET    | /api/courses/01HFN5ND2PRJ5K8NGTK8TY8T2Q/classes                                               | 0.008 | 2.980 | 15.876  | 0.227 | 0.444 | 0.828 | 2.980 | 0.405  | 373.000     | 893.000     | 37955.000    | 542.214     |
